County,Census,Estimates Base,Today,,,,,
Colusa,"21,419","21,407",21547,,,".Colusa County, California",,,
Contra Costa,"1,049,025","1,049,204",1153526,,,".Contra Costa County, California",,,
Del Norte,"28,610","28,610",27812,,,".Del Norte County, California",,,
El Dorado,"181,058","181,058",192843,,,".El Dorado County, California",,,
Fresno,"930,450","930,507",999101,,,".Fresno County, California",,,
Glenn,"28,122","28,122",28393,,,".Glenn County, California",,,
Humboldt,"134,623","134,611",135558,,,".Humboldt County, California",,,
Imperial,"174,528","174,524",181215,,,".Imperial County, California",,,
Inyo,"18,546","18,542",18039,,,".Inyo County, California",,,
Kern,"839,631","839,621",900202,,,".Kern County, California",,,
Kings,"152,982","152,974",152940,,,".Kings County, California",,,
Lake,"64,665","64,662",64386,,,".Lake County, California",,,
Lassen,"34,895","34,895",30573,,,".Lassen County, California",,,
Los Angeles,"9,818,605","9,819,968",10039107,,,".Los Angeles County, California",,,
Madera,"150,865","150,834",157327,,,".Madera County, California",,,
Marin,"252,409","252,430",258826,,,".Marin County, California",,,
Mariposa,"18,251","18,247",17203,,,".Mariposa County, California",,,
Mendocino,"87,841","87,850",86749,,,".Mendocino County, California",,,
Merced,"255,793","255,796",277680,,,".Merced County, California",,,
Modoc,"9,686","9,682",8841,,,".Modoc County, California",,,
Mono,"14,202","14,206",14444,,,".Mono County, California",,,
Monterey,"415,057","415,059",434061,,,".Monterey County, California",,,
Napa,"136,484","136,535",137744,,,".Napa County, California",,,
Nevada,"98,764","98,747",99755,,,".Nevada County, California",,,
Orange,"3,010,232","3,008,989",3175692,,,".Orange County, California",,,
Placer,"348,432","348,502",398329,,,".Placer County, California",,,
Plumas,"20,007","20,007",18807,,,".Plumas County, California",,,
Riverside,"2,189,641","2,189,765",2470546,,,".Riverside County, California",,,
Sacramento,"1,418,788","1,418,735",1552058,,,".Sacramento County, California",,,
San Benito,"55,269","55,265",62808,,,".San Benito County, California",,,
San Bernardino,"2,035,210","2,035,183",2180085,,,".San Bernardino County, California",,,
San Diego,"3,095,313","3,095,349",3338330,,,".San Diego County, California",,,
San Francisco,"805,235","805,184",881549,,,".San Francisco County, California",,,
San Joaquin,"685,306","685,306",762148,,,".San Joaquin County, California",,,
San Luis Obispo,"269,637","269,597",283111,,,".San Luis Obispo County, California",,,
San Mateo,"718,451","718,517",766573,,,".San Mateo County, California",,,
Santa Barbara,"423,895","423,947",446499,,,".Santa Barbara County, California",,,
Santa Clara,"1,781,642","1,781,686",1927852,,,".Santa Clara County, California",,,
Santa Cruz,"262,382","262,350",273213,,,".Santa Cruz County, California",,,
Shasta,"177,223","177,221",180080,,,".Shasta County, California",,,
Sierra,"3,240","3,239",3005,,,".Sierra County, California",,,
Siskiyou,"44,900","44,900",43539,,,".Siskiyou County, California",,,
Solano,"413,344","413,343",447643,,,".Solano County, California",,,
Sonoma,"483,878","483,861",494336,,,".Sonoma County, California",,,
Stanislaus,"514,453","514,450",550660,,,".Stanislaus County, California",,,
Sutter,"94,737","94,756",96971,,,".Sutter County, California",,,
Tehama,"63,463","63,440",65084,,,".Tehama County, California",,,
Trinity,"13,786","13,784",12285,,,".Trinity County, California",,,
Tulare,"442,179","442,182",466195,,,".Tulare County, California",,,
Tuolumne,"55,365","55,368",54478,,,".Tuolumne County, California",,,
Ventura,"823,318","823,398",846006,,,".Ventura County, California",,,
Yolo,"200,849","200,855",220500,,,".Yolo County, California",,,
Yuba,"72,155","72,142",78668,,,".Yuba County, California",,,
Adams,"441,603","441,697",517421,,,".Adams County, Colorado",,,
Alamosa,"15,445","15,440",16233,,,".Alamosa County, Colorado",,,
Arapahoe,"572,003","572,118",656590,,,".Arapahoe County, Colorado",,,
Archuleta,"12,084","12,084",14029,,,".Archuleta County, Colorado",,,
Baca,"3,788","3,787",3581,,,".Baca County, Colorado",,,
Bent,"6,499","6,499",5577,,,".Bent County, Colorado",,,
Boulder,"294,567","294,560",326196,,,".Boulder County, Colorado",,,
Broomfield,"55,889","55,861",70465,,,".Broomfield County, Colorado",,,
Chaffee,"17,809","17,809",20356,,,".Chaffee County, Colorado",,,
Cheyenne,"1,836","1,833",1831,,,".Cheyenne County, Colorado",,,
Clear Creek,"9,088","9,073",9700,,,".Clear Creek County, Colorado",,,
Conejos,"8,256","8,256",8205,,,".Conejos County, Colorado",,,
Costilla,"3,524","3,524",3887,,,".Costilla County, Colorado",,,
Crowley,"5,823","5,823",6061,,,".Crowley County, Colorado",,,
Custer,"4,255","4,251",5068,,,".Custer County, Colorado",,,
Delta,"30,952","30,953",31162,,,".Delta County, Colorado",,,
Denver,"600,158","599,825",727211,,,".Denver County, Colorado",,,
Dolores,"2,064","2,064",2055,,,".Dolores County, Colorado",,,
Douglas,"285,465","285,465",351154,,,".Douglas County, Colorado",,,
Eagle,"52,197","52,201",55127,,,".Eagle County, Colorado",,,
Elbert,"23,086","23,088",26729,,,".Elbert County, Colorado",,,
El Paso,"622,263","622,253",720403,,,".El Paso County, Colorado",,,
Fremont,"46,824","46,828",47839,,,".Fremont County, Colorado",,,
Garfield,"56,389","56,373",60061,,,".Garfield County, Colorado",,,
Gilpin,"5,441","5,449",6243,,,".Gilpin County, Colorado",,,
Grand,"14,843","14,843",15734,,,".Grand County, Colorado",,,
Gunnison,"15,324","15,324",17462,,,".Gunnison County, Colorado",,,
Hinsdale,843,843,820,,,".Hinsdale County, Colorado",,,
Huerfano,"6,711","6,711",6897,,,".Huerfano County, Colorado",,,
Jackson,"1,394","1,393",1392,,,".Jackson County, Colorado",,,
Jefferson,"534,543","534,829",582881,,,".Jefferson County, Colorado",,,
Kiowa,"1,398","1,398",1406,,,".Kiowa County, Colorado",,,
Kit Carson,"8,270","8,270",7097,,,".Kit Carson County, Colorado",,,
Lake,"7,310","7,310",8127,,,".Lake County, Colorado",,,
La Plata,"51,334","51,335",56221,,,".La Plata County, Colorado",,,
Larimer,"299,630","299,630",356899,,,".Larimer County, Colorado",,,
Las Animas,"15,507","15,507",14506,,,".Las Animas County, Colorado",,,
Lincoln,"5,467","5,469",5701,,,".Lincoln County, Colorado",,,
Logan,"22,709","22,709",22409,,,".Logan County, Colorado",,,
Mesa,"146,723","146,733",154210,,,".Mesa County, Colorado",,,
Mineral,712,712,769,,,".Mineral County, Colorado",,,
Moffat,"13,795","13,791",13283,,,".Moffat County, Colorado",,,
Montezuma,"25,535","25,541",26183,,,".Montezuma County, Colorado",,,
Montrose,"41,276","41,276",42758,,,".Montrose County, Colorado",,,
Morgan,"28,159","28,159",29068,,,".Morgan County, Colorado",,,
Otero,"18,831","18,833",18278,,,".Otero County, Colorado",,,
Ouray,"4,436","4,442",4952,,,".Ouray County, Colorado",,,
Park,"16,206","16,203",18845,,,".Park County, Colorado",,,
Phillips,"4,442","4,442",4265,,,".Phillips County, Colorado",,,
Pitkin,"17,148","17,144",17767,,,".Pitkin County, Colorado",,,
Prowers,"12,551","12,551",12172,,,".Prowers County, Colorado",,,
Pueblo,"159,063","159,063",168424,,,".Pueblo County, Colorado",,,
Rio Blanco,"6,666","6,673",6324,,,".Rio Blanco County, Colorado",,,
Rio Grande,"11,982","11,982",11267,,,".Rio Grande County, Colorado",,,
Routt,"23,509","23,506",25638,,,".Routt County, Colorado",,,
Saguache,"6,108","6,108",6824,,,".Saguache County, Colorado",,,
San Juan,699,699,728,,,".San Juan County, Colorado",,,
San Miguel,"7,359","7,359",8179,,,".San Miguel County, Colorado",,,
Sedgwick,"2,379","2,382",2248,,,".Sedgwick County, Colorado",,,
Summit,"27,994","27,994",31011,,,".Summit County, Colorado",,,
Teller,"23,350","23,359",25388,,,".Teller County, Colorado",,,
Washington,"4,814","4,812",4908,,,".Washington County, Colorado",,,
Weld,"252,825","252,827",324492,,,".Weld County, Colorado",,,
Yuma,"10,043","10,043",10019,,,".Yuma County, Colorado",,,
Fairfield,"916,829","916,904",943332,,,".Fairfield County, Connecticut",,,
Hartford,"894,014","894,052",891720,,,".Hartford County, Connecticut",,,
Litchfield,"189,927","189,880",180333,,,".Litchfield County, Connecticut",,,
Middlesex,"165,676","165,672",162436,,,".Middlesex County, Connecticut",,,
New Haven,"862,477","862,442",854757,,,".New Haven County, Connecticut",,,
New London,"274,055","274,070",265206,,,".New London County, Connecticut",,,
Tolland,"152,691","152,747",150721,,,".Tolland County, Connecticut",,,
Windham,"118,428","118,380",116782,,,".Windham County, Connecticut",,,
Kent,"162,310","162,350",180786,,,".Kent County, Delaware",,,
New Castle,"538,479","538,484",558753,,,".New Castle County, Delaware",,,
Sussex,"197,145","197,103",234225,,,".Sussex County, Delaware",,,
District of Columbia,"601,723","601,767",705749,,,".District of Columbia, District of Columbia",,,
Alachua,"247,336","247,337",269043,,,".Alachua County, Florida",,,
