County,Census,Estimates Base,Today,,,,,
Jefferson Davis Parish,"31,594","31,592",31368,,,".Jefferson Davis Parish, Louisiana",,,
Lafayette Parish,"221,578","221,778",244390,,,".Lafayette Parish, Louisiana",,,
Lafourche Parish,"96,318","96,642",97614,,,".Lafourche Parish, Louisiana",,,
LaSalle Parish,"14,890","14,890",14892,,,".LaSalle Parish, Louisiana",,,
Lincoln Parish,"46,735","46,740",46742,,,".Lincoln Parish, Louisiana",,,
Livingston Parish,"128,026","127,674",140789,,,".Livingston Parish, Louisiana",,,
Madison Parish,"12,093","12,101",10951,,,".Madison Parish, Louisiana",,,
Morehouse Parish,"27,979","27,979",24874,,,".Morehouse Parish, Louisiana",,,
Natchitoches Parish,"39,566","39,569",38158,,,".Natchitoches Parish, Louisiana",,,
Orleans Parish,"343,829","343,828",390144,,,".Orleans Parish, Louisiana",,,
Ouachita Parish,"153,720","153,734",153279,,,".Ouachita Parish, Louisiana",,,
Plaquemines Parish,"23,042","23,035",23197,,,".Plaquemines Parish, Louisiana",,,
Pointe Coupee Parish,"22,802","22,808",21730,,,".Pointe Coupee Parish, Louisiana",,,
Rapides Parish,"131,613","131,609",129648,,,".Rapides Parish, Louisiana",,,
Red River Parish,"9,091","9,091",8442,,,".Red River Parish, Louisiana",,,
Richland Parish,"20,725","20,722",20122,,,".Richland Parish, Louisiana",,,
Sabine Parish,"24,233","24,226",23884,,,".Sabine Parish, Louisiana",,,
St. Bernard Parish,"35,897","35,897",47244,,,".St. Bernard Parish, Louisiana",,,
St. Charles Parish,"52,780","52,888",53100,,,".St. Charles Parish, Louisiana",,,
St. Helena Parish,"11,203","11,205",10132,,,".St. Helena Parish, Louisiana",,,
St. James Parish,"22,102","22,101",21096,,,".St. James Parish, Louisiana",,,
St. John the Baptist Parish,"45,924","45,810",42837,,,".St. John the Baptist Parish, Louisiana",,,
St. Landry Parish,"83,384","83,390",82124,,,".St. Landry Parish, Louisiana",,,
St. Martin Parish,"52,160","52,122",53431,,,".St. Martin Parish, Louisiana",,,
St. Mary Parish,"54,650","54,647",49348,,,".St. Mary Parish, Louisiana",,,
St. Tammany Parish,"233,740","233,756",260419,,,".St. Tammany Parish, Louisiana",,,
Tangipahoa Parish,"121,097","121,109",134758,,,".Tangipahoa Parish, Louisiana",,,
Tensas Parish,"5,252","5,250",4334,,,".Tensas Parish, Louisiana",,,
Terrebonne Parish,"111,860","111,543",110461,,,".Terrebonne Parish, Louisiana",,,
Union Parish,"22,721","22,774",22108,,,".Union Parish, Louisiana",,,
Vermilion Parish,"57,999","57,959",59511,,,".Vermilion Parish, Louisiana",,,
Vernon Parish,"52,334","52,361",47429,,,".Vernon Parish, Louisiana",,,
Washington Parish,"47,168","47,140",46194,,,".Washington Parish, Louisiana",,,
Webster Parish,"41,207","41,207",38340,,,".Webster Parish, Louisiana",,,
West Baton Rouge Parish,"23,788","23,785",26465,,,".West Baton Rouge Parish, Louisiana",,,
West Carroll Parish,"11,604","11,604",10830,,,".West Carroll Parish, Louisiana",,,
West Feliciana Parish,"15,625","15,625",15568,,,".West Feliciana Parish, Louisiana",,,
Winn Parish,"15,313","15,313",13904,,,".Winn Parish, Louisiana",,,
Androscoggin,"107,702","107,709",108277,,,".Androscoggin County, Maine",,,
Aroostook,"71,870","71,873",67055,,,".Aroostook County, Maine",,,
Cumberland,"281,674","281,690",295003,,,".Cumberland County, Maine",,,
Franklin,"30,768","30,767",30199,,,".Franklin County, Maine",,,
Hancock,"54,418","54,408",54987,,,".Hancock County, Maine",,,
Kennebec,"122,151","122,154",122302,,,".Kennebec County, Maine",,,
Knox,"39,736","39,734",39772,,,".Knox County, Maine",,,
Lincoln,"34,457","34,445",34634,,,".Lincoln County, Maine",,,
Oxford,"57,833","57,830",57975,,,".Oxford County, Maine",,,
Penobscot,"153,923","153,931",152148,,,".Penobscot County, Maine",,,
Piscataquis,"17,535","17,535",16785,,,".Piscataquis County, Maine",,,
Sagadahoc,"35,293","35,287",35856,,,".Sagadahoc County, Maine",,,
Somerset,"52,228","52,222",50484,,,".Somerset County, Maine",,,
Waldo,"38,786","38,787",39715,,,".Waldo County, Maine",,,
Washington,"32,856","32,855",31379,,,".Washington County, Maine",,,
York,"197,131","197,131",207641,,,".York County, Maine",,,
Allegany,"75,087","75,047",70416,,,".Allegany County, Maryland",,,
Anne Arundel,"537,656","537,631",579234,,,".Anne Arundel County, Maryland",,,
Baltimore,"805,029","805,324",827370,,,".Baltimore County, Maryland",,,
Calvert,"88,737","88,739",92525,,,".Calvert County, Maryland",,,
Caroline,"33,066","33,078",33406,,,".Caroline County, Maryland",,,
Carroll,"167,134","167,141",168447,,,".Carroll County, Maryland",,,
Cecil,"101,108","101,102",102855,,,".Cecil County, Maryland",,,
Charles,"146,551","146,564",163257,,,".Charles County, Maryland",,,
Dorchester,"32,618","32,623",31929,,,".Dorchester County, Maryland",,,
Frederick,"233,385","233,403",259547,,,".Frederick County, Maryland",,,
Garrett,"30,097","30,139",29014,,,".Garrett County, Maryland",,,
Harford,"244,826","244,824",255441,,,".Harford County, Maryland",,,
Howard,"287,085","287,123",325690,,,".Howard County, Maryland",,,
Kent,"20,197","20,195",19422,,,".Kent County, Maryland",,,
Montgomery,"971,777","971,284",1050688,,,".Montgomery County, Maryland",,,
Prince George's,"863,420","864,029",909327,,,".Prince George's County, Maryland",,,
Queen Anne's,"47,798","47,785",50381,,,".Queen Anne's County, Maryland",,,
St. Mary's,"105,151","105,144",113510,,,".St. Mary's County, Maryland",,,
Somerset,"26,470","26,470",25616,,,".Somerset County, Maryland",,,
Talbot,"37,782","37,781",37181,,,".Talbot County, Maryland",,,
Washington,"147,430","147,417",151049,,,".Washington County, Maryland",,,
Wicomico,"98,733","98,733",103609,,,".Wicomico County, Maryland",,,
Worcester,"51,454","51,448",52276,,,".Worcester County, Maryland",,,
Baltimore city,"620,961","620,770",593490,,,".Baltimore city, Maryland",,,
Barnstable,"215,888","215,880",212990,,,".Barnstable County, Massachusetts",,,
Berkshire,"131,219","131,274",124944,,,".Berkshire County, Massachusetts",,,
Bristol,"548,285","548,242",565217,,,".Bristol County, Massachusetts",,,
Dukes,"16,535","16,535",17332,,,".Dukes County, Massachusetts",,,
Essex,"743,159","743,082",789034,,,".Essex County, Massachusetts",,,
Franklin,"71,372","71,381",70180,,,".Franklin County, Massachusetts",,,
Hampden,"463,490","463,615",466372,,,".Hampden County, Massachusetts",,,
Hampshire,"158,080","158,063",160830,,,".Hampshire County, Massachusetts",,,
Middlesex,"1,503,085","1,503,133",1611699,,,".Middlesex County, Massachusetts",,,
Nantucket,"10,172","10,172",11399,,,".Nantucket County, Massachusetts",,,
Norfolk,"670,850","670,910",706775,,,".Norfolk County, Massachusetts",,,
Plymouth,"494,919","494,932",521202,,,".Plymouth County, Massachusetts",,,
Suffolk,"722,023","722,183",803907,,,".Suffolk County, Massachusetts",,,
Worcester,"798,552","798,383",830622,,,".Worcester County, Massachusetts",,,
Alcona,"10,942","10,943",10405,,,".Alcona County, Michigan",,,
Alger,"9,601","9,601",9108,,,".Alger County, Michigan",,,
Allegan,"111,408","111,400",118081,,,".Allegan County, Michigan",,,
Alpena,"29,598","29,594",28405,,,".Alpena County, Michigan",,,
Antrim,"23,580","23,574",23324,,,".Antrim County, Michigan",,,
Arenac,"15,899","15,903",14883,,,".Arenac County, Michigan",,,
Baraga,"8,860","8,866",8209,,,".Baraga County, Michigan",,,
Barry,"59,173","59,177",61550,,,".Barry County, Michigan",,,
Bay,"107,771","107,773",103126,,,".Bay County, Michigan",,,
Benzie,"17,525","17,526",17766,,,".Benzie County, Michigan",,,
Berrien,"156,813","156,808",153401,,,".Berrien County, Michigan",,,
Branch,"45,248","45,242",43517,,,".Branch County, Michigan",,,
Calhoun,"136,146","136,150",134159,,,".Calhoun County, Michigan",,,
Cass,"52,293","52,289",51787,,,".Cass County, Michigan",,,
Charlevoix,"25,949","25,955",26143,,,".Charlevoix County, Michigan",,,
Cheboygan,"26,152","26,145",25276,,,".Cheboygan County, Michigan",,,
Chippewa,"38,520","38,672",37349,,,".Chippewa County, Michigan",,,
Clare,"30,926","30,924",30950,,,".Clare County, Michigan",,,
Clinton,"75,382","75,364",79595,,,".Clinton County, Michigan",,,
Crawford,"14,074","14,081",14029,,,".Crawford County, Michigan",,,
Delta,"37,069","37,069",35784,,,".Delta County, Michigan",,,
Dickinson,"26,168","26,168",25239,,,".Dickinson County, Michigan",,,
Eaton,"107,759","107,761",110268,,,".Eaton County, Michigan",,,
Emmet,"32,694","32,694",33415,,,".Emmet County, Michigan",,,
Genesee,"425,790","425,787",405813,,,".Genesee County, Michigan",,,
Gladwin,"25,692","25,698",25449,,,".Gladwin County, Michigan",,,
Gogebic,"16,427","16,424",13975,,,".Gogebic County, Michigan",,,
Grand Traverse,"86,986","86,983",93088,,,".Grand Traverse County, Michigan",,,
Gratiot,"42,476","42,478",40711,,,".Gratiot County, Michigan",,,
Hillsdale,"46,688","46,691",45605,,,".Hillsdale County, Michigan",,,
Houghton,"36,628","36,625",35684,,,".Houghton County, Michigan",,,
Huron,"33,118","33,118",30981,,,".Huron County, Michigan",,,
Ingham,"280,895","280,891",292406,,,".Ingham County, Michigan",,,
Ionia,"63,905","63,901",64697,,,".Ionia County, Michigan",,,
Iosco,"25,887","25,893",25127,,,".Iosco County, Michigan",,,
Iron,"11,817","11,817",11066,,,".Iron County, Michigan",,,
Isabella,"70,311","70,313",69872,,,".Isabella County, Michigan",,,
Jackson,"160,248","160,233",158510,,,".Jackson County, Michigan",,,
Kalamazoo,"250,331","250,327",265066,,,".Kalamazoo County, Michigan",,,
Kalkaska,"17,153","17,147",18038,,,".Kalkaska County, Michigan",,,
Kent,"602,622","602,625",656955,,,".Kent County, Michigan",,,
Keweenaw,"2,156","2,156",2116,,,".Keweenaw County, Michigan",,,
Lake,"11,539","11,544",11853,,,".Lake County, Michigan",,,
Lapeer,"88,319","88,316",87607,,,".Lapeer County, Michigan",,,
Leelanau,"21,708","21,711",21761,,,".Leelanau County, Michigan",,,
Lenawee,"99,892","99,899",98451,,,".Lenawee County, Michigan",,,
Livingston,"180,967","180,964",191995,,,".Livingston County, Michigan",,,
Luce,"6,631","6,631",6229,,,".Luce County, Michigan",,,
Mackinac,"11,113","11,114",10799,,,".Mackinac County, Michigan",,,
Macomb,"840,978","841,039",873972,,,".Macomb County, Michigan",,,
Manistee,"24,733","24,747",24558,,,".Manistee County, Michigan",,,
Marquette,"67,077","67,071",66699,,,".Marquette County, Michigan",,,
Mason,"28,705","28,689",29144,,,".Mason County, Michigan",,,
Mecosta,"42,798","42,798",43453,,,".Mecosta County, Michigan",,,
Menominee,"24,029","24,029",22780,,,".Menominee County, Michigan",,,
Midland,"83,629","83,621",83156,,,".Midland County, Michigan",,,
Missaukee,"14,849","14,851",15118,,,".Missaukee County, Michigan",,,
Monroe,"152,021","152,031",150500,,,".Monroe County, Michigan",,,
Montcalm,"63,342","63,342",63888,,,".Montcalm County, Michigan",,,
Montmorency,"9,765","9,760",9328,,,".Montmorency County, Michigan",,,
Muskegon,"172,188","172,194",173566,,,".Muskegon County, Michigan",,,
Newaygo,"48,460","48,459",48980,,,".Newaygo County, Michigan",,,
Oakland,"1,202,362","1,202,384",1257584,,,".Oakland County, Michigan",,,
Oceana,"26,570","26,570",26467,,,".Oceana County, Michigan",,,
Ogemaw,"21,699","21,688",20997,,,".Ogemaw County, Michigan",,,
Ontonagon,"6,780","6,780",5720,,,".Ontonagon County, Michigan",,,
Osceola,"23,528","23,526",23460,,,".Osceola County, Michigan",,,
Oscoda,"8,640","8,638",8241,,,".Oscoda County, Michigan",,,
Otsego,"24,164","24,167",24668,,,".Otsego County, Michigan",,,
Ottawa,"263,801","263,795",291830,,,".Ottawa County, Michigan",,,
Presque Isle,"13,376","13,380",12592,,,".Presque Isle County, Michigan",,,
Roscommon,"24,449","24,448",24019,,,".Roscommon County, Michigan",,,
Saginaw,"200,169","200,169",190539,,,".Saginaw County, Michigan",,,
St. Clair,"163,040","163,051",159128,,,".St. Clair County, Michigan",,,
St. Joseph,"61,295","61,303",60964,,,".St. Joseph County, Michigan",,,
Sanilac,"43,114","43,106",41170,,,".Sanilac County, Michigan",,,
Schoolcraft,"8,485","8,485",8094,,,".Schoolcraft County, Michigan",,,
Shiawassee,"70,648","70,668",68122,,,".Shiawassee County, Michigan",,,
Tuscola,"55,729","55,722",52245,,,".Tuscola County, Michigan",,,
Van Buren,"76,258","76,269",75677,,,".Van Buren County, Michigan",,,
Washtenaw,"344,791","345,163",367601,,,".Washtenaw County, Michigan",,,
Wayne,"1,820,584","1,820,473",1749343,,,".Wayne County, Michigan",,,
Wexford,"32,735","32,735",33631,,,".Wexford County, Michigan",,,
Aitkin,"16,202","16,192",15886,,,".Aitkin County, Minnesota",,,
Anoka,"330,844","330,858",356921,,,".Anoka County, Minnesota",,,
Becker,"32,504","32,506",34423,,,".Becker County, Minnesota",,,
Beltrami,"44,442","44,443",47188,,,".Beltrami County, Minnesota",,,
Benton,"38,451","38,451",40889,,,".Benton County, Minnesota",,,
Big Stone,"5,269","5,268",4991,,,".Big Stone County, Minnesota",,,
Blue Earth,"64,013","64,013",67653,,,".Blue Earth County, Minnesota",,,
Brown,"25,893","25,893",25008,,,".Brown County, Minnesota",,,
Carlton,"35,386","35,386",35871,,,".Carlton County, Minnesota",,,
Carver,"91,042","91,086",105089,,,".Carver County, Minnesota",,,
Cass,"28,567","28,565",29779,,,".Cass County, Minnesota",,,
Chippewa,"12,441","12,443",11800,,,".Chippewa County, Minnesota",,,
Chisago,"53,887","53,890",56579,,,".Chisago County, Minnesota",,,
Clay,"58,999","58,999",64222,,,".Clay County, Minnesota",,,
Clearwater,"8,695","8,695",8818,,,".Clearwater County, Minnesota",,,
Cook,"5,176","5,176",5463,,,".Cook County, Minnesota",,,
Cottonwood,"11,687","11,687",11196,,,".Cottonwood County, Minnesota",,,
Crow Wing,"62,500","62,512",65055,,,".Crow Wing County, Minnesota",,,
Dakota,"398,552","398,590",429021,,,".Dakota County, Minnesota",,,
Dodge,"20,087","20,087",20934,,,".Dodge County, Minnesota",,,
Douglas,"36,009","36,011",38141,,,".Douglas County, Minnesota",,,
Faribault,"14,553","14,553",13653,,,".Faribault County, Minnesota",,,
Fillmore,"20,866","20,868",21067,,,".Fillmore County, Minnesota",,,
Freeborn,"31,255","31,254",30281,,,".Freeborn County, Minnesota",,,
Goodhue,"46,183","46,184",46340,,,".Goodhue County, Minnesota",,,
Grant,"6,018","6,018",5972,,,".Grant County, Minnesota",,,
Hennepin,"1,152,425","1,152,385",1265843,,,".Hennepin County, Minnesota",,,
Houston,"19,027","19,020",18600,,,".Houston County, Minnesota",,,
Hubbard,"20,428","20,427",21491,,,".Hubbard County, Minnesota",,,
Isanti,"37,816","37,810",40596,,,".Isanti County, Minnesota",,,
Itasca,"45,058","45,058",45130,,,".Itasca County, Minnesota",,,
Jackson,"10,266","10,266",9846,,,".Jackson County, Minnesota",,,
Kanabec,"16,239","16,244",16337,,,".Kanabec County, Minnesota",,,
Kandiyohi,"42,239","42,239",43199,,,".Kandiyohi County, Minnesota",,,
Kittson,"4,552","4,552",4298,,,".Kittson County, Minnesota",,,
Koochiching,"13,311","13,314",12229,,,".Koochiching County, Minnesota",,,
Lac qui Parle,"7,259","7,258",6623,,,".Lac qui Parle County, Minnesota",,,
Lake,"10,866","10,862",10641,,,".Lake County, Minnesota",,,
Lake of the Woods,"4,045","4,045",3740,,,".Lake of the Woods County, Minnesota",,,
Le Sueur,"27,703","27,701",28887,,,".Le Sueur County, Minnesota",,,
Lincoln,"5,896","5,895",5639,,,".Lincoln County, Minnesota",,,
Lyon,"25,857","25,858",25474,,,".Lyon County, Minnesota",,,
McLeod,"36,651","36,645",35893,,,".McLeod County, Minnesota",,,
Mahnomen,"5,413","5,413",5527,,,".Mahnomen County, Minnesota",,,
Marshall,"9,439","9,439",9336,,,".Marshall County, Minnesota",,,
Martin,"20,840","20,843",19683,,,".Martin County, Minnesota",,,
Meeker,"23,300","23,298",23222,,,".Meeker County, Minnesota",,,
Mille Lacs,"26,097","26,097",26277,,,".Mille Lacs County, Minnesota",,,
Morrison,"33,198","33,198",33386,,,".Morrison County, Minnesota",,,
Mower,"39,163","39,167",40062,,,".Mower County, Minnesota",,,
Murray,"8,725","8,725",8194,,,".Murray County, Minnesota",,,
Nicollet,"32,727","32,729",34274,,,".Nicollet County, Minnesota",,,
Nobles,"21,378","21,378",21629,,,".Nobles County, Minnesota",,,
Norman,"6,852","6,845",6375,,,".Norman County, Minnesota",,,
Olmsted,"144,248","144,268",158293,,,".Olmsted County, Minnesota",,,
Otter Tail,"57,303","57,301",58746,,,".Otter Tail County, Minnesota",,,
Pennington,"13,930","13,930",14119,,,".Pennington County, Minnesota",,,
Pine,"29,750","29,747",29579,,,".Pine County, Minnesota",,,
Pipestone,"9,596","9,597",9126,,,".Pipestone County, Minnesota",,,
Polk,"31,600","31,600",31364,,,".Polk County, Minnesota",,,
Pope,"10,995","10,993",11249,,,".Pope County, Minnesota",,,
Ramsey,"508,640","508,639",550321,,,".Ramsey County, Minnesota",,,
Red Lake,"4,089","4,089",4055,,,".Red Lake County, Minnesota",,,
Redwood,"16,059","16,058",15170,,,".Redwood County, Minnesota",,,
Renville,"15,730","15,728",14548,,,".Renville County, Minnesota",,,
Rice,"64,142","64,143",66972,,,".Rice County, Minnesota",,,
Rock,"9,687","9,686",9315,,,".Rock County, Minnesota",,,
Roseau,"15,629","15,629",15165,,,".Roseau County, Minnesota",,,
St. Louis,"200,226","200,229",199070,,,".St. Louis County, Minnesota",,,
Scott,"129,928","129,908",149013,,,".Scott County, Minnesota",,,
Sherburne,"88,499","88,492",97238,,,".Sherburne County, Minnesota",,,
Sibley,"15,226","15,234",14865,,,".Sibley County, Minnesota",,,
Stearns,"150,642","150,642",161075,,,".Stearns County, Minnesota",,,
Steele,"36,576","36,581",36649,,,".Steele County, Minnesota",,,
Stevens,"9,726","9,722",9805,,,".Stevens County, Minnesota",,,
Swift,"9,783","9,781",9266,,,".Swift County, Minnesota",,,
Todd,"24,895","24,895",24664,,,".Todd County, Minnesota",,,
Traverse,"3,558","3,558",3259,,,".Traverse County, Minnesota",,,
Wabasha,"21,676","21,665",21627,,,".Wabasha County, Minnesota",,,
Wadena,"13,843","13,843",13682,,,".Wadena County, Minnesota",,,
Waseca,"19,136","19,138",18612,,,".Waseca County, Minnesota",,,
Washington,"238,136","238,109",262440,,,".Washington County, Minnesota",,,
Watonwan,"11,211","11,211",10897,,,".Watonwan County, Minnesota",,,
Wilkin,"6,576","6,576",6207,,,".Wilkin County, Minnesota",,,
Winona,"51,461","51,461",50484,,,".Winona County, Minnesota",,,
Wright,"124,700","124,697",138377,,,".Wright County, Minnesota",,,
Yellow Medicine,"10,438","10,438",9709,,,".Yellow Medicine County, Minnesota",,,
Adams,"32,297","32,300",30693,,,".Adams County, Mississippi",,,
Alcorn,"37,057","37,062",36953,,,".Alcorn County, Mississippi",,,
Amite,"13,131","13,136",12297,,,".Amite County, Mississippi",,,
Attala,"19,564","19,562",18174,,,".Attala County, Mississippi",,,
Benton,"8,729","8,728",8259,,,".Benton County, Mississippi",,,
Bolivar,"34,145","34,153",30628,,,".Bolivar County, Mississippi",,,
Calhoun,"14,962","14,957",14361,,,".Calhoun County, Mississippi",,,
Carroll,"10,597","10,597",9947,,,".Carroll County, Mississippi",,,
Chickasaw,"17,392","17,392",17103,,,".Chickasaw County, Mississippi",,,
Choctaw,"8,547","8,551",8210,,,".Choctaw County, Mississippi",,,
Claiborne,"9,604","9,597",8988,,,".Claiborne County, Mississippi",,,
Clarke,"16,732","16,728",15541,,,".Clarke County, Mississippi",,,
Clay,"20,634","20,648",19316,,,".Clay County, Mississippi",,,
Coahoma,"26,151","26,145",22124,,,".Coahoma County, Mississippi",,,
Copiah,"29,449","29,448",28065,,,".Copiah County, Mississippi",,,
Covington,"19,568","19,573",18636,,,".Covington County, Mississippi",,,
DeSoto,"161,252","161,267",184945,,,".DeSoto County, Mississippi",,,
